,CPU Name,No. Sockets,Cores,Price,CPU Mark,CPU Value,Thread Mark,Thread Value,TDP (W),Power Performance,Test Date,Socket,Category
172,AMD A9-9420e,1,2,NA,"1,107",NA,962,NA,NA,NA,Apr 2018,Unknown,Laptop
173,AMD A9-9425,1,2,NA,"1,510",NA,"1,316",NA,15,100.67,Jun 2018,BGA (FT4),Laptop
174,AMD A9-9430,1,2,NA,"1,658",NA,"1,427",NA,NA,NA,Dec 2017,Unknown,Desktop
175,AMD A9-9820,1,8,NA,"3,938",NA,800,NA,NA,NA,Apr 2021,Unknown,Desktop
176,AMD Athlon 1500+,1,1,NA,191,NA,275,NA,NA,NA,Mar 2009,Unknown,Desktop
177,AMD Athlon 1640B,1,1,$50.00*,412,8.23,462,9.25,45,9.14,May 2009,AM2,Desktop
178,AMD Athlon 200GE,1,2,$123.89*,"4,115",33.22,"1,803",14.55,35,117.58,Sep 2018,AM4,Desktop
179,AMD Athlon 220GE,1,2,$122.10*,"4,424",36.23,"1,959",16.04,35,126.39,Mar 2019,AM4,Laptop
180,AMD Athlon 240GE,1,2,$98.27*,"4,534",46.14,"1,968",20.03,35,129.55,Jan 2019,AM4,Desktop
181,AMD Athlon 2650e,1,1,$19.00*,274,14.43,304,16.00,15,18.28,Jan 2009,AM2,Desktop
182,AMD Athlon 2800+,1,1,$109.95*,291,2.65,439,3.99,89,3.27,Mar 2009,754,Desktop
183,AMD Athlon 2850e,1,1,NA,333,NA,337,NA,22,15.12,Nov 2009,AM2,Desktop
184,AMD Athlon 3000G,1,2,$89.99*,"4,484",49.83,"1,984",22.05,35,128.11,Nov 2019,AM4,Desktop
185,AMD Athlon 300GE,1,2,NA,"4,273",NA,"1,869",NA,35,122.09,Dec 2019,AM4,Desktop
186,AMD Athlon 300U,1,2,NA,"3,923",NA,"1,799",NA,15,261.53,Jul 2019,FP5,Laptop
187,AMD Athlon 320GE,1,2,NA,"4,382",NA,"1,922",NA,35,125.20,Sep 2021,AM4,Desktop
188,AMD Athlon 5000 Dual-Core,1,2,$79.95,872,10.91,898,11.23,65,13.42,Oct 2009,"AM2,AM2+",Desktop
189,AMD Athlon 5150 APU,1,4,$98.86*,"1,388",14.04,546,5.52,25,55.50,Apr 2014,"AM1,FS1b",Desktop
190,AMD Athlon 5200 Dual-Core,1,2,$53.02,869,16.40,915,17.25,75,11.59,Dec 2010,AM2,Desktop
191,AMD Athlon 5350 APU,1,4,$147.83*,"1,780",12.04,699,4.73,25,71.19,Mar 2014,"AM1,FS1B",Desktop
192,AMD Athlon 5370 APU,1,4,$598.68*,"1,867",3.12,755,1.26,25,74.70,Apr 2016,"AM1,FS1B",Desktop
193,AMD Athlon 64 2000+,1,1,NA,154,NA,173,NA,8,19.30,Nov 2013,Unknown,Desktop
194,AMD Athlon 64 2600+,1,1,NA,243,NA,292,NA,15,16.22,Nov 2013,Unknown,Desktop
195,AMD Athlon 64 2800+,1,1,$99.99*,295,2.95,375,3.75,89,3.32,Jan 2009,754,Desktop
196,AMD Athlon 64 3000+,1,1,$20.00*,334,16.68,615,30.76,89,3.75,Dec 2008,Socket 754,Desktop
197,AMD Athlon 64 3100+,1,1,NA,484,NA,600,NA,89,5.44,Jan 2015,754,Desktop
198,AMD Athlon 64 3200+,1,1,$149.95*,305,2.03,621,4.14,62,4.91,Dec 2008,AM2,Desktop
199,AMD Athlon 64 3300+,1,1,NA,375,NA,477,NA,NA,NA,Mar 2009,Unknown,Desktop
200,AMD Athlon 64 3400+,1,1,$99.95*,317,3.17,547,5.48,89,3.56,Jan 2009,754,Desktop
201,AMD Athlon 64 3500+,1,1,$79.95*,377,4.71,576,7.21,45,8.37,Dec 2008,AM2,Desktop
202,AMD Athlon 64 3700+,1,1,$89.95*,394,4.38,435,4.83,89,4.42,Dec 2008,939,Desktop
203,AMD Athlon 64 3800+,1,1,$131.01*,292,2.23,461,3.52,45,6.50,Jan 2009,AM2,Desktop
204,AMD Athlon 64 4000+,1,1,$99.95*,340,3.40,565,5.65,62,5.49,Dec 2008,AM2,Desktop
205,AMD Athlon 64 FX-55,1,1,$65.00*,404,6.22,505,7.77,104,3.89,Feb 2009,939,Desktop
206,AMD Athlon 64 FX-57,1,1,NA,517,NA,552,NA,104,4.97,Mar 2009,939,Desktop
207,AMD Athlon 64 FX-59,1,1,NA,465,NA,575,NA,NA,NA,May 2013,939,Desktop
208,AMD Athlon 64 FX-60 Dual Core,1,2,NA,709,NA,912,NA,110,6.45,Feb 2009,939,Desktop
209,AMD Athlon 64 FX-62 Dual Core,1,2,$250.00*,993,3.97,"1,022",4.09,125,7.94,Feb 2009,AM2,Desktop
210,AMD Athlon 64 FX-74,1,2,$499.50*,972,1.95,617,1.24,125,7.78,Mar 2009,F (1207),Desktop
211,AMD Athlon 64 X2 3800+,1,2,NA,566,NA,745,NA,89,6.36,May 2010,939,Desktop
212,AMD Athlon 64 X2 Dual Core 3400+,1,2,NA,531,NA,505,NA,89,5.97,Oct 2010,754,Desktop
213,AMD Athlon 64 X2 Dual Core 3600+,1,2,$68.25*,633,9.27,666,9.75,65,9.73,Dec 2008,AM2,Desktop
214,AMD Athlon 64 X2 Dual Core 3800+,1,2,NA,629,NA,718,NA,89,7.06,Nov 2008,AM2,Desktop
215,AMD Athlon 64 X2 Dual Core 4000+,1,2,NA,692,NA,737,NA,65,10.65,Dec 2008,AM2,Desktop
216,AMD Athlon 64 X2 Dual Core 4200+,1,2,$109.95*,725,6.60,804,7.31,89,8.15,Nov 2008,AM2,Desktop
217,AMD Athlon 64 X2 Dual Core 4400+,1,2,$298.95*,675,2.26,764,2.56,65,10.38,Dec 2008,AM2,Desktop
218,AMD Athlon 64 X2 Dual Core 4600+,1,2,$349.95*,720,2.06,835,2.39,65,11.08,Dec 2008,AM2,Desktop
219,AMD Athlon 64 X2 Dual Core 4800+,1,2,$149.95*,679,4.53,876,5.84,65,10.44,Nov 2008,AM2,Desktop
220,AMD Athlon 64 X2 Dual Core 5000+,1,2,$331.49*,786,2.37,898,2.71,65,12.09,Dec 2008,AM2,Desktop
221,AMD Athlon 64 X2 Dual Core 5200+,1,2,$60.00*,846,14.10,932,15.54,65,13.02,Nov 2008,AM2,Desktop
222,AMD Athlon 64 X2 Dual Core 5400+,1,2,$52.99*,907,17.11,999,18.86,65,13.95,Nov 2008,AM2,Desktop
223,AMD Athlon 64 X2 Dual Core 5600+,1,2,$107.21*,907,8.46,"1,024",9.55,89,10.19,Nov 2008,AM2,Desktop
224,AMD Athlon 64 X2 Dual Core 5800+,1,2,$29.95*,653,21.81,746,24.91,89,7.34,Jan 2009,Unknown,Desktop
225,AMD Athlon 64 X2 Dual Core 6000+,1,2,$38.50*,934,24.27,"1,036",26.92,89,10.50,Nov 2008,AM2,Desktop
226,AMD Athlon 64 X2 Dual Core 6400+,1,2,$249.95*,998,3.99,"1,141",4.57,125,7.98,Nov 2008,AM2,Desktop
227,AMD Athlon 64 X2 Dual Core BE-2300,1,2,NA,594,NA,624,NA,45,13.20,Nov 2011,AM2,Desktop
