CPU Name,Predicted CPU Mark,Actual CPU Mark,Accuracy (%)
Intel Xeon Platinum 8260 @ 2.40GHz,30187.45,30347,69.84687868080094
AMD A8-4500M APU,1406.17,1683,69.84687868080094
AMD Opteron 2222,879.24,1198,69.84687868080094
Intel Pentium M 1.40GHz,213.39,225,69.84687868080094
Intel Core Ultra 5 125H,22710.49,22397,69.84687868080094
Intel Atom x6425RE @ 1.90GHz,3007.97,2990,69.84687868080094
Intel Xeon X3370 @ 3.00GHz,2441.05,2465,69.84687868080094
Intel Pentium A1018 @ 2.10GHz,1209.74,1210,69.84687868080094
AMD Ryzen Threadripper 1920,21943.62,22066,69.84687868080094
[Dual CPU] Intel Xeon E5530 @ 2.40GHz,5311.86,5214,69.84687868080094
[Dual CPU] Intel Xeon X5570 @ 2.93GHz,7519.32,6238,69.84687868080094
[Quad CPU] Intel Xeon Platinum 8160 @ 2.10GHz,63259.07,72905,69.84687868080094
AMD EPYC 72F3,26500.07,27252,69.84687868080094
Intel Core i9-9940X @ 3.30GHz,27434.13,27996,69.84687868080094
[Dual CPU] Intel Xeon E5506 @ 2.13GHz,3742.58,3710,69.84687868080094
Intel Core2 Duo T7200 @ 2.00GHz,740.37,738,69.84687868080094
[Dual CPU] AMD EPYC 7573X,104140.18,103531,69.84687868080094
Intel Pentium G3440 @ 3.30GHz,2240.01,2202,69.84687868080094
AMD A6-7310 APU,1731.42,1724,69.84687868080094
AMD A4-9120,1251.8,1224,69.84687868080094
